"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1062","should submit order correctly","firefox","2026-08-18","passed","2026-08-18","Submit order","submitOrder.spec.ts","",""
"","703","should show first name error message","firefox","2026-08-18","passed","2026-08-18","Your Information Step","yourInformation.spec.ts","",""
"","939","should show first name error message","webkit","2026-08-18","passed","2026-08-18","Your Information Step","yourInformation.spec.ts","",""
"","420","should show last name error message","chromium","2026-08-18","passed","2026-08-18","Your Information Step","yourInformation.spec.ts","",""
"","618","should display error message on invalid credentials","webkit","2026-08-18","passed","2026-08-18","Login test","login.spec.ts","",""
"","631","should remove product from cart","chromium","2026-08-18","passed","2026-08-18","Add to cart test","addToCart.spec.ts","",""
"","403","should display error message on invalid credentials","firefox","2026-08-18","passed","2026-08-18","Login test","login.spec.ts","",""
"","424","should process your information step correctly","chromium","2026-08-18","passed","2026-08-18","Your Information Step","yourInformation.spec.ts","",""
"","526","should submit order correctly","chromium","2026-08-18","passed","2026-08-18","Submit order","submitOrder.spec.ts","",""
"","753","should navigate to Products page on valid credentials","webkit","2026-08-18","passed","2026-08-18","Login test","login.spec.ts","",""
"","324","should handle missing product assets gracefully without breaking UI","chromium","2026-08-18","passed","2026-08-18","Products test","products.spec.ts","",""
"","970","should show postal code error message","webkit","2026-08-18","passed","2026-08-18","Your Information Step","yourInformation.spec.ts","",""
"","722","should handle missing product assets gracefully without breaking UI","webkit","2026-08-18","passed","2026-08-18","Products test","products.spec.ts","",""
"","862","should remove product from cart","firefox","2026-08-18","passed","2026-08-18","Add to cart test","addToCart.spec.ts","",""
"","4200","should add two products to cart and remove one","chromium","2026-08-18","passed","2026-08-18","Add to cart test","addToCart.spec.ts","",""
"","437","should show postal code error message","chromium","2026-08-18","passed","2026-08-18","Your Information Step","yourInformation.spec.ts","",""
"","236","should display error message on missing username","chromium","2026-08-18","passed","2026-08-18","Login test","login.spec.ts","",""
"","1224","should submit order correctly","webkit","2026-08-18","passed","2026-08-18","Submit order","submitOrder.spec.ts","",""
"","729","should process your information step correctly","firefox","2026-08-18","passed","2026-08-18","Your Information Step","yourInformation.spec.ts","",""
"","1165","should remove product from cart","webkit","2026-08-18","passed","2026-08-18","Add to cart test","addToCart.spec.ts","",""
"","579","should display error message on missing username","webkit","2026-08-18","passed","2026-08-18","Login test","login.spec.ts","",""
"","511","should handle missing product assets gracefully without breaking UI","firefox","2026-08-18","passed","2026-08-18","Products test","products.spec.ts","",""
"","2012","should add product to cart","webkit","2026-08-18","passed","2026-08-18","Add to cart test","addToCart.spec.ts","",""
"","1381","should add product to cart","firefox","2026-08-18","passed","2026-08-18","Add to cart test","addToCart.spec.ts","",""
"","248","should display error message on invalid credentials","chromium","2026-08-18","passed","2026-08-18","Login test","login.spec.ts","",""
"","621","should display error message on missing password","webkit","2026-08-18","passed","2026-08-18","Login test","login.spec.ts","",""
"","395","should display error message on missing password","firefox","2026-08-18","passed","2026-08-18","Login test","login.spec.ts","",""
"","1200","should add two products to cart and remove one","webkit","2026-08-18","passed","2026-08-18","Add to cart test","addToCart.spec.ts","",""
"","948","should show last name error message","webkit","2026-08-18","passed","2026-08-18","Your Information Step","yourInformation.spec.ts","",""
"","430","should show first name error message","chromium","2026-08-18","passed","2026-08-18","Your Information Step","yourInformation.spec.ts","",""
"","472","should navigate to Products page on valid credentials","firefox","2026-08-18","passed","2026-08-18","Login test","login.spec.ts","",""
"","854","should add two products to cart and remove one","firefox","2026-08-18","passed","2026-08-18","Add to cart test","addToCart.spec.ts","",""
"","686","should show postal code error message","firefox","2026-08-18","passed","2026-08-18","Your Information Step","yourInformation.spec.ts","",""
"","314","should navigate to Products page on valid credentials","chromium","2026-08-18","passed","2026-08-18","Login test","login.spec.ts","",""
"","415","should display error message on missing username","firefox","2026-08-18","passed","2026-08-18","Login test","login.spec.ts","",""
"","969","should process your information step correctly","webkit","2026-08-18","passed","2026-08-18","Your Information Step","yourInformation.spec.ts","",""
"","1449","should add product to cart","chromium","2026-08-18","passed","2026-08-18","Add to cart test","addToCart.spec.ts","",""
"","738","should show last name error message","firefox","2026-08-18","passed","2026-08-18","Your Information Step","yourInformation.spec.ts","",""
"","242","should display error message on missing password","chromium","2026-08-18","passed","2026-08-18","Login test","login.spec.ts","",""
